sku,product_name,product_id,description_draft,check_id,check_label,reviewer,status,notes
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,"Premium Turkish baklawa durum layered with pistachio and clarified butter. Sold in 1 kg packs for HORECA and wholesale buyers who need a distinctive pistachio-forward durum line.",accurate_product,Product name origin and variant correct,merchandising,pending,
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,"Premium Turkish baklawa durum layered with pistachio and clarified butter. Sold in 1 kg packs for HORECA and wholesale buyers who need a distinctive pistachio-forward durum line.",pack_size,Pack size matches Central record (1 kg),merchandising,pending,
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,"Premium Turkish baklawa durum layered with pistachio and clarified butter. Sold in 1 kg packs for HORECA and wholesale buyers who need a distinctive pistachio-forward durum line.",buyer_tone,Wholesale/HORECA tone appropriate,merchandising,pending,
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,"Premium Turkish baklawa durum layered with pistachio and clarified butter. Sold in 1 kg packs for HORECA and wholesale buyers who need a distinctive pistachio-forward durum line.",length,1-3 sentences; <=220 chars preferred,merchandising,pending,178 chars
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,"Premium Turkish baklawa durum layered with pistachio and clarified butter. Sold in 1 kg packs for HORECA and wholesale buyers who need a distinctive pistachio-forward durum line.",no_false_claims,No health or competitor claims,merchandising,pending,
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,"Premium Turkish baklawa durum layered with pistachio and clarified butter. Sold in 1 kg packs for HORECA and wholesale buyers who need a distinctive pistachio-forward durum line.",spelling_grammar,Proofread spelling and grammar,merchandising,pending,
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,"Premium Turkish baklawa durum layered with pistachio and clarified butter. Sold in 1 kg packs for HORECA and wholesale buyers who need a distinctive pistachio-forward durum line.",manual_signoff,Reviewer name and date recorded,catalogue_admin,pending,No DB write until signed
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,Lebanese tart cashew baklawa with a crisp pastry base and generous cashew filling. 6 kg pack suited for counter display and bulk replenishment.,accurate_product,Product name origin and variant correct,merchandising,pending,
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,Lebanese tart cashew baklawa with a crisp pastry base and generous cashew filling. 6 kg pack suited for counter display and bulk replenishment.,pack_size,Pack size matches Central record (6 kg),merchandising,pending,
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,Lebanese tart cashew baklawa with a crisp pastry base and generous cashew filling. 6 kg pack suited for counter display and bulk replenishment.,buyer_tone,Wholesale/HORECA tone appropriate,merchandising,pending,
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,Lebanese tart cashew baklawa with a crisp pastry base and generous cashew filling. 6 kg pack suited for counter display and bulk replenishment.,length,1-3 sentences; <=220 chars preferred,merchandising,pending,143 chars
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,Lebanese tart cashew baklawa with a crisp pastry base and generous cashew filling. 6 kg pack suited for counter display and bulk replenishment.,no_false_claims,No health or competitor claims,merchandising,pending,
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,Lebanese tart cashew baklawa with a crisp pastry base and generous cashew filling. 6 kg pack suited for counter display and bulk replenishment.,spelling_grammar,Proofread spelling and grammar,merchandising,pending,
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,Lebanese tart cashew baklawa with a crisp pastry base and generous cashew filling. 6 kg pack suited for counter display and bulk replenishment.,manual_signoff,Reviewer name and date recorded,catalogue_admin,pending,No DB write until signed
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,"Classic Lebanese cashew kitta baklawa — flaky layers, roasted cashew, and traditional syrup finish. 3 kg trade pack for everyday menu staples.",accurate_product,Product name origin and variant correct,merchandising,pending,
